AdrianeCode,SchulzCode,CellID,CellType,INX1,INX2,INX3
869_040 LG,#1 LG,LG,STG,37155,13163,9031
869_042 MG,#10 MG,MG,STG,2664,1096,652
869_045 MG,#11 MG,MG,STG,1981,714,735
869_046 MG,#12 MG,MG,STG,1544,480,433
869_041 IC,#13 IC,IC,STG,24366,9014,6937
869_042 IC,#14 IC,IC,STG,4425,2066,1171
869_044 neurop,#15 Neuropil,neuropil,STG,55180,23294,18436
869_046 neurop,#17 Neuropil,neuropil,STG,15551,7126,3998
869_038 LG,#18 LG,LG,STG,14740,5689,4059
869_043 IC,#19 IC,IC,STG,6726,2806,2286
869_042 LG,#2 LG,LG,STG,14910,6364,4521
869_044 IC,#20 IC,IC,STG,30068,12629,10163
869_046 IC,#21 IC,IC,STG,24399,9945,7400
869_038 DG,#22 DG,DG,STG,6230,3161,2171
869_039 DG,#23 DG,DG,STG,12421,5973,4241
869_041 DG,#24 DG,DG,STG,22416,11344,7230
869_042 DG,#25 DG,DG,STG,13681,6574,4821
869_046 AGR,#26 AGR,AGR,STG,25364,9072,5909
869_043 LG,#3 LG,LG,STG,7337,2762,1659
869_045 LG,#4 LG,LG,STG,16270,7242,4853
869_046 LG,#5 LG,LG,STG,21165,7736,5437
869_041 PY,#6 PY,PY,STG,14129,5521,3387
869_045 PY1,#7 PY,PY,STG,4366,2066,1517
869_045 PY2,#8 PY,PY,STG,5629,2437,1870
869_045 PY3,#9 PY,PY,STG,2664,1405,1016
869_038 LPG2,#40 LPG,LPG,STG,3878,1210,642
869_039 LPG1,#41 LPG,LPG,STG,3963,1532,667
869_040 LPG1,#42 LPG,LPG,STG,12903,4447,2174
869_041 LPG1,#43 LPG,LPG,STG,9622,887,594
869_041 LPG2,#44 LPG,LPG,STG,19064,5849,3054
869_042 LPG1,#45 LPG,LPG,STG,7614,2417,1288
869_042 LPG2,#46 LPG,LPG,STG,6231,1912,795
869_043 LPG2,#47 LPG,LPG,STG,11122,2650,1635
869_045 LPG1,#48 LPG,LPG,STG,2800,1186,526
869_045 LPG2,#49 LPG,LPG,STG,2462,1202,500
869_046 LPG1,#50 LPG,LPG,STG,3717,1256,574
Animal 0,#01,LC01,CG,10364,7763,6416
Animal 0,#02,LC02,CG,8207,6131,5421
Animal 0,#03,LC03,CG,8010,6164,5501
Animal 0,#04,LC04,CG,5586,4977,3892
Animal 0,#05,LC05,CG,24107,17303,13972
Animal 1,#11,LC01,CG,11324,7325,4678
Animal 1,#12,LC02,CG,7386,5076,3332
Animal 1,#13,LC03,CG,7593,4142,378
Animal 1,#14,LC04,CG,12216,8760,5751
Animal 1,#15,LC05,CG,1684,1529,796
Animal 2,#21,LC01,CG,4274,2867,2592
Animal 2,#22,LC02,CG,8280,5764,5092
Animal 2,#23,LC03,CG,7768,5918,4885
Animal 2,#24,LC04,CG,18965,14390,9149
Animal 2,#25,LC05,CG,22550,14256,10462
Animal 3,#31,LC01,CG,6843,6026,4370
Animal 3,#32,LC02,CG,917,865,595
Animal 3,#33,LC03,CG,3493,2753,1520
Animal 3,#34,LC04,CG,4042,3221,2214
Animal 3,#35,LC05,CG,6129,5246,3662
Animal 4,#41,LC01,CG,14142,11268,7212
Animal 4,#42,LC02,CG,12767,9060,7216
Animal 4,#43,LC03,CG,23413,17754,11845
Animal 4,#44,LC04,CG,6628,5396,3989
Animal 4,#45,LC05,CG,13278,10342,7258
Animal 5,#51,LC01,CG,13798,9349,5822
Animal 5,#52,LC02,CG,2329,1880,1111
Animal 5,#53,LC03,CG,15861,11420,6558
Animal 5,#54,LC04,CG,8309,6326,4661
Animal 5,#55,LC05,CG,10426,8121,5109
Animal 6,#61,LC01,CG,15735,9893,5896
Animal 6,#62,LC02,CG,10674,7892,5452
Animal 6,#63,LC03,CG,13677,10426,7278
Animal 6,#64,LC04,CG,5178,4570,2962
Animal 6,#65,LC05,CG,9173,7594,4812
Animal 7,#71,LC01,CG,14430,11313,7435
Animal 7,#72,LC02,CG,6572,5454,3374
Animal 7,#73,LC03,CG,3408,2622,1676
Animal 7,#74,LC04,CG,15225,11922,7457
Animal 7,#75,LC05,CG,6436,5335,3513
Animal 8,#81,LC01,CG,8469,6418,4565
Animal 8,#82,LC02,CG,4534,3317,2357
Animal 8,#83,LC03,CG,2118,1908,1347
Animal 8,#84,LC04,CG,4653,3041,2367
Animal 8,#85,LC05,CG,2355,1954,1481
Animal 9,#91,LC01,CG,312,333,248
Animal 9,#92,LC02,CG,12517,8555,5148
Animal 9,#93,LC03,CG,11425,8007,4979
Animal 9,#94,LC04,CG,10336,8051,5113
Animal 9,#95,LC05,CG,10468,7817,4772
